Article_ID,cause_of_death_regex,age_in_years_regex
431928514,True,True
2038054333,True,True
424015567,True,True
940930401,True,True
430642115,True,True
425271352,True,True
2071045558,True,True
423958253,True,True
2747149064,True,True
2482462891,True,True
424178202,True,True
429687336,True,True
432077718,True,True
2504534874,True,True
2227943119,True,True
431602330,True,True
1367739621,True,True
431323386,True,True
424625094,True,True
431340147,True,True
424933543,True,True
2218964948,True,True
2216508334,True,True
430311681,True,True
429422071,True,True
2217715445,True,True
2228383465,True,True
2653452011,True,True
1986542691,True,True
424256044,True,True
1634994796,True,True
427654938,True,True
2218084792,True,True
428164606,True,True
1666935917,True,True
2043006154,True,True
433443832,True,True
427910739,True,True
431223720,True,True
2213066448,True,True
428774569,True,True
428425498,True,True
432833019,True,True
2553082152,True,True
433313849,True,True
432134389,True,True
2070074502,True,True
2500467295,True,True
1856375198,True,True
424056782,True,True
431179456,True,True
2785491501,True,True
2634603743,True,True
2691795099,True,True
427213440,True,True
2843499866,True,True
918716799,True,True
2714798364,True,True
423942634,True,True
427858158,True,True
2609134729,True,True
1284598177,True,True
2198905335,True,True
2592819884,True,True
432251486,True,True
424550213,True,True
424766357,True,True
2218317911,True,True
427424676,True,True
423944675,True,True
432181876,True,True
432324135,True,True
426729621,True,True
2220183825,True,True
1440653059,True,True
426617158,True,True
433809875,True,True
431519311,True,True
2213029827,True,True
2714124886,True,True
2891611717,True,True
431199106,True,True
2231064049,True,True
2242884829,True,True
1819618942,True,True
424258652,True,True
430101275,True,True
2448458306,True,True
428121844,True,True
2499267209,True,True
2214841452,True,True
430466908,True,True
2222555725,True,True
428117048,True,True
433930035,True,True
1930264076,True,True
2713017945,True,True
1876290745,True,True
2797114819,True,True
2222968079,True,True
427233888,True,True
431974002,True,True
1845882656,True,True
2233643433,True,True
429891999,True,True
423951965,True,True
1509385823,True,True
431192229,True,True
2350209197,True,True
430546009,True,True
432497015,True,True
427932542,True,True
2235794709,True,True
2548447425,True,True
432822685,True,True
424043834,True,True
425151853,True,True
429860330,True,True
2627204798,True,True
2559302868,True,True
2221440993,True,True
428116377,True,True
431488438,True,True
431075885,True,True
2808069282,True,True
430601471,True,True
425953762,True,True
432969979,True,True
429770182,True,True
2058030653,True,True
2230134088,True,True
430176449,True,True
433353609,True,True
2595849276,True,True
424039876,True,True
431315658,True,True
2212940963,True,True
430539794,True,True
424682013,True,True
429134148,True,True
2216794036,True,True
428746458,True,True
432161370,True,True
424077858,True,True
432196616,True,True
2414436087,True,True
425804867,True,True
427738849,True,True
427365875,True,True
426921692,True,True
2900158171,True,True
428842451,True,True
2455678477,True,True
430791944,True,True
1269606301,True,True
431972430,True,True
425280217,True,True
424629957,True,True
423978913,True,True
425878519,True,True
2666230132,True,True
2401465633,True,True
433214159,True,True
424353094,True,True
2227395902,True,True
427965936,True,True
2478195088,True,True
2571367579,True,True
2848070527,True,True
424491226,True,True
426580748,True,True
2393824025,True,True
2225578898,True,True
432991784,True,True
2229248599,True,True
430008436,True,True
2218410586,True,True
433564830,True,True
426888997,True,True
430819763,True,True
425419391,True,True
1411450418,True,True
425331029,True,True
2767687985,True,True
424613141,True,True
428555415,True,True
2223823397,True,True
1674151405,True,True
431066099,True,True
2231313008,True,True
2429065890,True,True
427008334,True,True
424932560,True,True
426335787,True,True
425135739,True,True
1334992525,True,True
424016744,True,True
425458156,True,True
423960372,True,True
432129282,True,True
